43824	7	20010101	20051231	86400
Time_interval	Precip_mm.d	Temp_C	RH_1	Wind_m.s	RN_w.m2	Pres_pa
0	0	-11.16	0.768	4.03	0	66960.4609
0.0416666666666667	7.4016	-11.81	0.7502	4.03	0	67047.6562
0.0833333333333333	0	-12.46	0.7285	4.03	0	67134.8438
0.125	7.4016	-13.1	0.7018	4.02	0	67221.3828
0.166666666666667	4.224	-13.45	0.6703	4.06	0	67183.4922
0.208333333333333	0	-13.81	0.6369	4.1	0	67145.5938
0.25	10.0416	-14.16	0.6008	4.13	0	67107.0625
0.291666666666667	0	-13.72	0.5988	4.07	0	67134.1719
0.333333333333333	0	-13.28	0.5963	4.01	0	67160.6484
0.375	0	-12.85	0.5938	3.95	0	67187.7734
0.416666666666667	4.224	-13.1	0.6125	3.89	0	67119.6797
0.458333333333333	0	-13.35	0.6316	3.83	0	67052.2422
0.5	0	-13.6	0.6513	3.77	0	66984.1484
0.541666666666667	2.2296	-13.05	0.6755	3.76	0	67056.1406
0.583333333333333	0	-12.51	0.6972	3.76	0	67128.1172
0.625	0	-11.96	0.7155	3.76	69.76	67200.0938
0.666666666666667	0	-10.6	0.7237	4.8	192.96	67206.7969
0.708333333333333	2.2344	-9.23	0.7231	5.84	288.943	67213.8906
0.75	0	-7.87	0.7167	6.89	363.823	67220.7188
0.791666666666667	0	-7.63	0.7354	7.07	384.175	67134.2266
0.833333333333333	1.536	-7.4	0.7538	7.24	375.327	67048.3906
0.875	0	-7.16	0.7707	7.42	227.824	66962.5312
0.916666666666667	1.536	-7.99	0.7978	6.59	161.12	67087.9062
0.958333333333333	0	-8.81	0.8249	5.76	73.576	67213.6328
1	0	-9.64	0.853	4.93	0	67339.0938
1.04166666666667	3.9168	-10.76	0.868	4.08	0	67348.4609
1.08333333333333	0	-11.89	0.8803	3.22	0	67357.7969
1.125	2.232	-13.02	0.8879	2.37	0	67367.1094
1.16666666666667	3.9144	-14.09	0.8897	2.16	0	67350.75
1.20833333333333	0	-15.16	0.8854	1.95	0	67333.7266
1.25	0	-16.23	0.8739	1.74	0	67317.3516
1.29166666666667	2.2344	-16.69	0.8607	1.71	0	67364.0938
1.33333333333333	0	-17.15	0.8454	1.67	0	67410.1797
1.375	3.9144	-17.61	0.8276	1.64	0	67456.9062
1.41666666666667	0	-17.83	0.8103	1.8	0	67509.3906
1.45833333333333	0	-18.05	0.7921	1.96	0	67562.5078
1.5	0	-18.27	0.7729	2.12	0	67615
1.54166666666667	0	-17.81	0.7713	1.66	0	67641.2812
1.58333333333333	0	-17.36	0.7693	1.2	0	67668.1797
1.625	0	-16.9	0.7661	0.74	71.44	67694.4219
1.66666666666667	2.0808	-14.68	0.7451	1.17	198.16	67753.3672
1.70833333333333	0	-12.47	0.7133	1.6	296.983	67811.4531
1.75	0	-10.25	0.6739	2.03	388.638	67869.2969
1.79166666666667	0	-9.51	0.6657	2.57	410.665	67884.1094
1.83333333333333	0	-8.77	0.6566	3.1	401.565	67898.8984
1.875	2.0832	-8.02	0.6462	3.64	327.376	67913.6875
1.91666666666667	2.0832	-9.8	0.6394	3.47	232.192	67907.5234
1.95833333333333	0	-11.58	0.6179	3.3	107.136	67901.0078
2	0	-13.35	0.5767	3.14	0	67894.1406
2.04166666666667	6.8016	-13.14	0.545	3.18	0	68000.5234
2.08333333333333	0	-12.93	0.5142	3.21	0	68106.25
2.125	0	-12.72	0.4841	3.25	0	68212.6172
2.16666666666667	0	-12.41	0.4485	3.49	0	68136.6406
2.20833333333333	3.6528	-12.09	0.414	3.74	0	68061.2891
2.25	3.6528	-11.78	0.3813	3.98	0	67985.9531
2.29166666666667	2.0832	-11.07	0.3493	4.16	0	68087.4375
2.33333333333333	0	-10.36	0.3196	4.33	0	68188.9297
2.375	0	-9.64	0.2919	4.51	0	68290.4062
2.41666666666667	0	-9.35	0.2995	4.48	0	68230.3672
2.45833333333333	2.0832	-9.06	0.3066	4.45	0	68170.3281
2.5	0	-8.76	0.3131	4.42	0	68110.2891
2.54166666666667	0	-8.86	0.355	4.12	0	68118.3594
2.58333333333333	0	-8.96	0.3975	3.83	0	68127.0781
2.625	0	-9.06	0.4408	3.53	69.312	68135.7891
2.66666666666667	0	-7.67	0.4877	3.76	192.672	68176.0391
2.70833333333333	0	-6.27	0.5209	3.99	288.945	68216.5781
2.75	0	-4.87	0.5433	4.23	375.102	68257.4609
2.79166666666667	0	-4.32	0.5664	4.15	396.631	68269.1797
2.83333333333333	0.1128	-3.78	0.5872	4.08	388.201	68281.5312
2.875	1.0944	-3.24	0.6057	4.01	317.888	68293.9062
2.91666666666667	0	-4.72	0.6121	3.81	226.128	68239.6094
2.95833333333333	0	-6.2	0.613	3.6	105.432	68185.8125
3	0	-7.69	0.607	3.4	0	68131.1797
3.04166666666667	2.604	-8.1	0.6116	3.17	0	68118.5781
3.08333333333333	0	-8.51	0.616	2.95	0	68105.9766
3.125	1.0944	-8.93	0.6207	2.72	0	68093.3594
3.16666666666667	1.0944	-8.79	0.6046	2.83	0	68101.0625
3.20833333333333	0	-8.65	0.5888	2.95	0	68108.75
3.25	0	-8.51	0.5733	3.06	0	68117.0938
3.29166666666667	1.92	-8.42	0.5517	3.21	0	68063.0625
3.33333333333333	0	-8.33	0.5303	3.35	0	68008.3906
3.375	1.92	-8.25	0.5097	3.5	0	67954.3438
3.41666666666667	0	-7.89	0.4984	3.65	0	67904.5391
3.45833333333333	0	-7.54	0.4878	3.8	0	67854.7109
3.5	0	-7.18	0.477	3.95	0	67804.8906
3.54166666666667	1.9992	-6.8	0.4604	4.11	0	67793.7578
3.58333333333333	0	-6.42	0.4444	4.27	0	67782
3.625	0	-6.03	0.4287	4.43	70.24	67770.2266
3.66666666666667	0	-4.49	0.4316	4.98	195.456	67817.5625
3.70833333333333	4.752	-2.96	0.4298	5.53	293.3	67864.0312
3.75	0	-1.42	0.4238	6.08	383.376	67910.9297
3.79166666666667	0	-1.15	0.4373	5.55	405.649	67917.5703
3.83333333333333	0	-0.89	0.4504	5.02	397.382	67924.1875
3.875	0	-0.63	0.4629	4.49	325.408	67930.8125
3.91666666666667	0	-2.45	0.472	4.3	232.16	67823.8984
3.95833333333333	0	-4.28	0.476	4.12	109.392	67716.8203
4	0	-6.1	0.472	3.93	0	67610.1875
4.04166666666667	0	-6.38	0.4498	3.93	0	67719.4297
4.08333333333333	0	-6.66	0.4263	3.94	0	67829.2812
4.125	0	-6.95	0.4017	3.94	0	67938.4688
4.16666666666667	0	-7.24	0.4052	3.9	0	67895.2422
4.20833333333333	0	-7.53	0.4088	3.85	0	67852.0078
4.25	8.64	-7.83	0.4127	3.81	0	67809.4219
4.29166666666667	0	-7.7	0.4132	3.86	0	67812.8516
4.33333333333333	0	-7.57	0.4137	3.9	0	67816.2812
4.375	0	-7.44	0.4141	3.95	0	67819.7031
4.41666666666667	3.504	-7.28	0.4187	4.34	0	67768.5469
4.45833333333333	0	-7.12	0.4231	4.72	0	67716.7578
4.5	0	-6.96	0.4274	5.11	0	67664.9688
4.54166666666667	0	-6.89	0.4269	4.59	0	67757.3203
4.58333333333333	0.8256	-6.82	0.4265	4.07	0	67849.6562
4.625	0	-6.75	0.426	3.55	70.416	67941.3672
4.66666666666667	0	-4.85	0.4811	3.59	196.048	67893.7578
